obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 515158, 121538, 4101, 52413, 16568, 9754, 3328, 1640, NA, NA, NA, 724500,  0*
2, 6.0, 423660, 389482, 15234, 18131, 17040, 14053, 7262, 3481, NA, NA, NA, 888343,  0*
3, 7.0, 232527, 11236, 5255, 8807, 2307, 2535, 1747, 566, NA, NA, NA, 264980,  0*
4, 8.0, 1160253, 92029, 11992, 4982, 6180, 7159, 2950, 1505, 43, 38, NA, 1287050,  0*
5, 10.0, 1244780, 514459, 37340, 36974, 28153, 41902, 8096, 10944, 51, 34, NA, 1922648,  0*
6, 11.0, 83694, 7447, 11839, 4597, 3751, 2739, 342, 237, 66, 50, NA, 114646,  0*
7, 12.0, 132043, 58336, 33668, 10111, 5193, 3154, 1860, 1146, 56, 60, NA, 245511,  0*
8, 13.0, 1021799, 129476, 46862, 9090, 29892, 21130, 3759, 1409, 69, 64, NA, 1263417,  0*
9, 14.0, 3273563, 185284, 17292, 51463, 59062, 56250, 14754, 7090, 84, 69, NA, 3664758,  0*
10, 15.0, 115477, 163266, 4631, 17769, 27040, 3993, 3567, 497, 51, 47, NA, 336240,  0*
11, 17.0, 1070459, 14233, 4391, 3394, 2991, 3684, 590, 192, 83, 43, NA, 1099934,  0*
12, 18.0, 2609263, 640384, 88381, 83326, 216404, 33899, 11290, 4010, 63, 38, NA, 3686957,  0*
13, 19.0, 623850, 25382, 3963, 40905, 53813, 12989, 4981, 950, 61, 44, NA, 766833,  0*
14, 20.0, 888995, 28072, 1239, 68119, 7031, 24288, 2569, 518, 100, 66, NA, 1020831,  0*
15, 21.0, 2269000, 75130, 25558, 18169, 28874, 20015, 6410, 2859, 96, 64, NA, 2446015,  0*
16, 22.0, 452249, 91594, 20085, 12003, 8937, 15053, 7042, 2518, 100, 67, NA, 609481,  0*
17, 23.0, 124696, 28228, 5822, 3516, 10393, 12644, 7054, 1911, 100, 60, NA, 194264,  0*
18, 24.0, 98206, 15653, 1539, 647, 6629, 2939, 2388, 794, 100, 37, NA, 128795,  0*
19, 26.0, 1475919, 169571, 5882, 44092, 59302, 25921, 7696, 3541, 94, 30, NA, 1791924,  0*
20, 28.0, 1053727, 328236, 159385, 157930, 168417, 34482, 16197, 3470, 80, 38, NA, 1921844,  0*
21, 29.0, 2517263, 343693, 52020, 30898, 12798, 27662, 4231, 2283, 54, 40, NA, 2990848,  0*
22, 30.0, 510669, 38083, 1216, 6130, 8141, 2948, 1123, 220, 40, 44, NA, 568530,  0*
23, 31.0, 1372352, 70306, 40778, 27781, 62188, 13716, 5466, 1263, 38, 53, NA, 1593850,  0*
24, 32.0, 1120300, 102805, 76150, 99084, 57792, 14559, 2411, 3270, 37, 57, NA, 1476371,  0*
25, 32.9, 1137388, 25755, 6715, 7303, 5871, 3777, 1144, 670, 43, 63, NA, 1188623,  0*
26, 34.0, 164081, 86461, 6714, 19752, 9733, 21854, 9841, 2941, 60, 66, NA, 321377,  0*
27, 35.0, 321808, 5068, 7140, 9466, 12835, 8541, 7968, 6120, 78, 69, NA, 378946,  0*
28, 36.0, 638792, 149499, 70407, 68471, 60851, 33843, 7679, 4801, 90, 64, NA, 1034343,  0*
29, 37.0, 448920, 6555, 3742, 2314, 3412, 2104, 777, 573, 96, 67, NA, 468397,  0*
