obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 177683, 23250, 12340, 8184, 6126, 7479, 1170, 937, NA, NA, NA, 237169,  4*
2, 5.9, 112465, 43673, 14482, 18077, 10416, 7261, 10515, 2229, NA, NA, NA, 219118,  4*
3, 6.9, 1068126, 69077, 5338, 15431, 40374, 16977, 9331, 3553, NA, NA, NA, 1228207,  4*
4, 7.9, 86669, 49076, 1930, 49352, 7800, 6409, 5906, 3172, 30, 51, NA, 210314,  4*
5, 8.9, 13350, 19946, 1479, 6512, 4699, 954, 1359, 443, 13, 53, NA, 48742,  4*
6, 9.9, 7211, 5423, 2191, 4177, 3900, 1924, 1179, 875, 23, 63, NA, 26880,  4*
7, 10.9, 1578, 4286, 5311, 1239, 1478, 2548, 1450, 985, 37, 75, NA, 18875,  4*
8, 12.0, 9058, 5402, 2250, 2261, 3490, 3559, 854, 899, 66, 63, NA, 27773,  4*
9, 12.9, 9721, 10179, 3486, 2878, 1824, 2024, 1068, 405, 87, 67, NA, 31585,  4*
10, 13.9, 4097, 12511, 469, 970, 1843, 3042, 3136, 122, 90, 41, NA, 26190,  4*
11, 14.9, 119352, 18201, 3439, 2259, 14803, 5176, 2326, 2238, 90, 21, NA, 167794,  4*
12, 16.0, 5401, 9348, 6711, 1370, 2846, 3326, 1712, 827, 78, 24, NA, 31541,  4*
13, 16.9, 16720, 25684, 2042, 3351, 2257, 4391, 1869, 735, 81, 11, NA, 57049,  4*
14, 17.9, 7716, 9053, 9565, 2010, 3236, 4069, 1324, 894, 80, 41, NA, 37867,  4*
15, 18.9, 7013, 20414, 6067, 2162, 2844, 1881, 1954, 1879, 57, 53, NA, 44214,  4*
16, 19.9, 10423, 2354, 8366, 2676, 2214, 3522, 1332, 986, 64, 64, NA, 31873,  4*
17, 21.0, 76427, 47356, 14651, 21184, 7015, 10659, 1463, 639, 63, 81, NA, 179394,  4*
18, 22.0, 25888, 15216, 867, 7695, 3577, 2295, 1211, 2954, 51, 74, NA, 59703,  4*
19, 23.0, 66176, 22425, 9013, 3758, 8678, 5812, 2738, 746, 66, 74, NA, 119346,  4*
20, 23.9, 21748, 49222, 1212, 8305, 2661, 3046, 3672, 1664, 38, 47, NA, 91530,  4*
21, 24.9, 57010, 10855, 472, 11790, 3643, 1885, 1495, 459, 29, 50, NA, 87609,  4*
22, 25.9, 46471, 7269, 1942, 3300, 5102, 3844, 974, 312, 51, 47, NA, 69214,  4*
