obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 125735, 7063, 3481, 1542, 2061, 2128, 311, 119, NA, NA, NA, 142440,  3*
2, 11.0, 17674, 34413, 1397, 1278, 6896, 4588, 1976, 390, NA, NA, NA, 68612,  3*
3, 12.0, 30231, 17289, 1862, 2580, 1102, 998, 567, 546, NA, NA, NA, 55175,  3*
4, 13.0, 553227, 39366, 23670, 20490, 6088, 16466, 6598, 3676, 53, 51, NA, 669581,  3*
5, 14.0, 75305, 9481, 6452, 2500, 5950, 3567, 3444, 1691, 64, 61, NA, 108390,  3*
6, 15.0, 143808, 60831, 17040, 2756, 4789, 4093, 1743, 1325, 57, 66, NA, 236385,  3*
7, 16.0, 8357, 16360, 3550, 1570, 7407, 2566, 2823, 639, 64, 69, NA, 43272,  3*
8, 17.0, 1669, 6224, 6106, 682, 1344, 1353, 1933, 491, 53, 70, NA, 19802,  3*
9, 18.0, 12653, 3141, 13396, 3261, 4329, 3474, 662, 454, 53, 83, NA, 41370,  3*
10, 19.0, 46522, 14998, 5542, 17707, 4089, 5666, 2162, 687, 69, 93, NA, 97373,  3*
11, 20.0, 771953, 43700, 4767, 32201, 27067, 43580, 8703, 3096, 87, 97, NA, 935067,  3*
12, 21.0, 1607243, 607143, 24373, 35849, 34460, 14228, 5742, 2786, 64, 78, NA, 2331824,  3*
13, 22.0, 606493, 266993, 28594, 19281, 29001, 46836, 3168, 1708, 60, 56, NA, 1002074,  3*
14, 23.0, 587899, 125968, 12271, 39039, 18179, 11279, 2352, 2908, 48, 48, NA, 799895,  3*
15, 24.0, 238139, 54397, 12730, 10769, 14649, 7955, 4968, 2918, 26, 47, NA, 346525,  3*
16, 25.0, 754195, 90760, 36105, 34655, 30787, 24369, 8621, 7626, 51, 61, NA, 987118,  3*
17, 26.0, 1830859, 139294, 18432, 46012, 52255, 53506, 35674, 5531, 60, 67, NA, 2181563,  3*
18, 27.0, 661280, 25489, 11618, 14175, 13449, 5986, 3066, 1485, 66, 74, NA, 736548,  3*
19, 27.9, 78052, 19582, 16825, 6350, 11935, 3836, 3834, 866, 63, 80, NA, 141280,  3*
20, 29.0, 63642, 30636, 1365, 11932, 4232, 3788, 3567, 914, 56, 77, NA, 120076,  3*
21, 29.9, 111156, 49383, 8826, 19450, 9539, 13499, 13525, 3811, 51, 80, NA, 229189,  3*
22, 31.0, 39506, 4825, 4413, 1984, 2926, 2095, 2697, 1481, 60, 80, NA, 59927,  3*
23, 31.9, 9984, 7136, 11407, 2346, 2286, 2034, 1101, 794, 60, 84, NA, 37088,  3*
24, 32.9, 9511, 12821, 953, 1557, 1324, 5630, 1086, 887, 78, 77, NA, 33769,  3*
25, 33.9, 86414, 12220, 5338, 2051, 1880, 4585, 2433, 643, 81, 77, NA, 115564,  3*
