obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 3.0, 51047, 11085, 2183, 11124, 6167, 12719, 10622, 8077, NA, NA, NA, 113024,  X*
2, 4.0, 16532, 17742, 17596, 14123, 8827, 5613, 13607, 5602, NA, NA, NA, 99642,  X*
3, 5.0, 111851, 18011, 5519, 2303, 2881, 2375, 1920, 1065, NA, NA, NA, 145925,  X*
4, 6.0, 2161489, 166101, 28764, 26243, 31919, 28250, 20274, 18001, 35, 30, NA, 2481041,  X*
5, 7.0, 10907, 39102, 34284, 15736, 3475, 10104, 10159, 8864, 27, 44, NA, 132631,  X*
6, 8.0, 127027, 16625, 4848, 4836, 8803, 3979, 2915, 489, 26, 40, NA, 169522,  X*
7, 9.0, 121663, 24014, 2696, 5684, 1012, 2952, 2933, 1222, 17, 37, NA, 162176,  X*
8, 10.0, 2681, 4362, 4457, 1628, 978, 2547, 3686, 768, 24, 51, NA, 21107,  X*
9, 11.0, 13042, 8997, 1639, 2228, 5139, 3009, 5173, 2222, 34, 27, NA, 41449,  X*
10, 12.0, 217945, 55911, 7869, 5609, 2909, 2835, 3443, 2678, 16, 21, NA, 299199,  X*
11, 13.0, 60976, 33952, 7421, 6173, 8732, 10026, 15152, 6815, 26, 20, NA, 149247,  X*
12, 14.0, 580528, 24475, 1903, 2352, 5108, 12599, 16378, 9242, 35, 1, NA, 652585,  X*
13, 15.0, 79582, 11156, 4221, 1311, 1025, 6371, 9198, 2468, 40, 1, NA, 115332,  X*
14, 16.0, 129600, 43537, 10741, 4730, 4527, 8904, 4363, 1175, 54, 4, NA, 207577,  X*
15, 17.0, 2010, 1557, 1427, 2123, 3996, 1306, 2985, 1377, 57, 14, NA, 16781,  X*
16, 18.0, 6434, 1105, 1535, 2587, 3031, 5018, 3744, 1268, 67, 37, NA, 24722,  X*
17, 19.0, 967882, 147775, 12308, 18274, 15407, 18984, 8820, 5339, 54, 29, NA, 1194789,  X*
18, 20.0, 847, 2683, 715, 1630, 1221, 2683, 1766, 2670, 69, 34, NA, 14215,  X*
19, 21.0, 232626, 36038, 1937, 639, 583, 1966, 647, 347, 50, 11, NA, 274783,  X*
20, 22.0, 2785, 2159, 1537, 894, 896, 2394, 1657, 1903, 43, 13, NA, 14225,  X*
21, 23.0, 2934, 3076, 6530, 564, 1289, 2963, 1378, 1731, 54, 40, NA, 20465,  X*
22, 24.0, 17805, 10991, 3250, 3964, 3031, 4289, 2503, 732, 44, 44, NA, 46565,  X*
23, 25.0, 191481, 69763, 2435, 10141, 15616, 3504, 3015, 861, 43, 54, NA, 296816,  X*
24, 26.0, 28795, 9717, 8536, 15341, 1782, 3681, 3450, 993, 23, 69, NA, 72295,  X*
25, 27.0, 421788, 49705, 21460, 14093, 8647, 11236, 10733, 2020, 11, 63, NA, 539682,  X*
26, 28.0, 366947, 183999, 28873, 29559, 4721, 10493, 13336, 7436, 1, 57, NA, 645364,  X*
27, 29.0, 18401, 7550, 1060, 3621, 2244, 3996, 4505, 1104, 16, 69, NA, 42481,  X*
28, 30.0, 2712, 3071, 1182, 1293, 852, 3149, 3798, 2392, 38, 51, NA, 18449,  X*
29, 31.0, 3443, 4811, 737, 2459, 2806, 1987, 1827, 666, 47, 44, NA, 18736,  X*
30, 32.0, 37606, 66697, 21838, 17972, 17054, 10833, 10451, 3771, 56, 50, NA, 186222,  X*
31, 33.0, 9277, 9403, 1650, 3977, 4514, 1695, 1063, 1691, 43, 48, NA, 33270,  X*
32, 34.0, 8605, 50535, 21879, 6321, 7036, 3968, 3604, 2295, 13, 51, NA, 104243,  X*
33, 35.0, 204999, 11127, 2899, 1441, 4305, 4210, 1303, 1360, 14, 47, NA, 231644,  X*
34, 36.0, 3729, 3954, 943, 752, 3651, 1975, 1187, 1432, 29, 35, NA, 17623,  X*
35, 37.0, 87503, 6846, 6973, 1579, 1688, 1371, 215, 148, 26, 48, NA, 106323,  X*
36, 38.0, 3232, 3513, 356, 425, 3419, 3930, 2447, 2751, 60, 26, NA, 20073,  X*
37, 39.0, 37515, 21322, 27378, 6231, 5377, 16655, 10734, 4997, 63, 43, NA, 130209,  X*
38, 40.0, 8732, 4841, 4062, 963, 5289, 3432, 3406, 1770, 63, 51, NA, 32495,  X*
39, 41.0, 132453, 14217, 9414, 4228, 1865, 10500, 2071, 1760, 81, 44, NA, 176508,  X*
40, 42.0, 661735, 60950, 755, 1158, 3295, 1714, 3216, 555, 43, 44, NA, 733378,  X*
41, 43.0, 3023, 2160, 1968, 1043, 3337, 1508, 3168, 859, 44, 40, NA, 17066,  X*
42, 44.0, 90021, 10042, 1630, 576, 1623, 1358, 598, 112, 35, 37, NA, 105960,  X*
43, 45.0, 254554, 50475, 14126, 5694, 3655, 12122, 7656, 3791, 26, 34, NA, 352073,  X*
44, 46.0, 514583, 27219, 19339, 27654, 18432, 21969, 11358, 10245, 51, 64, NA, 650799,  X*
45, 47.0, 4544, 3585, 851, 4537, 1849, 3119, 2513, 2150, 54, 67, NA, 23148,  X*
46, 48.0, 29193, 39306, 13183, 6741, 5366, 6118, 3604, 996, 53, 75, NA, 104507,  X*
47, 49.0, 66533, 15522, 3879, 4421, 781, 4652, 3121, 507, 56, 80, NA, 99416,  X*
48, 50.0, 1148, 6529, 1932, 6515, 2453, 1925, 3797, 2061, 48, 81, NA, 26360,  X*
49, 51.0, 141256, 16145, 4740, 6594, 2133, 7111, 1616, 807, 44, 80, NA, 180402,  X*
50, 52.0, 134416, 19189, 2642, 2794, 1709, 3574, 4329, 1476, 48, 75, NA, 170129,  X*
51, 53.0, 39922, 23474, 5308, 6666, 4201, 2930, 3047, 1003, 38, 74, NA, 86551,  X*
52, 54.0, 118198, 39204, 5433, 6093, 4683, 2913, 2245, 1462, 27, 61, NA, 180231,  X*
53, 55.0, 84409, 53611, 23932, 2839, 7452, 5950, 1963, 2447, 14, 60, NA, 182603,  X*
54, 56.0, 3008700, 605620, 27332, 21630, 22300, 23005, 11913, 17909, 1, 50, NA, 3738409,  X*
55, 57.0, 346100, 70244, 36907, 12495, 19970, 23079, 8504, 3457, 11, 51, NA, 520756,  X*
56, 58.0, 17489, 7690, 16953, 3427, 8831, 6295, 2821, 1028, 26, 63, NA, 64534,  X*
57, 59.0, 535139, 87823, 30013, 18140, 15746, 12598, 6668, 10633, 27, 63, NA, 716760,  X*
58, 60.0, 34625, 78028, 2730, 3266, 1629, 1161, 1411, 1873, 23, 63, NA, 124723,  X*
59, 61.0, 178807, 33635, 15352, 6007, 3515, 4083, 1086, 342, 16, 63, NA, 242827,  X*
60, 62.0, 95045, 7541, 660, 1536, 633, 1382, 1070, 504, 14, 51, NA, 108371,  X*
61, 63.0, 138521, 117658, 25654, 22155, 23491, 24408, 12491, 6466, 23, 48, NA, 370844,  X*
62, 64.0, 645535, 41828, 20138, 5311, 11766, 4646, 6361, 2377, 37, 64, NA, 737962,  X*
63, 65.0, 410276, 88281, 3180, 32424, 10560, 29225, 12102, 21498, 47, 57, NA, 607546,  X*
64, 66.0, 313587, 53263, 4990, 4594, 14604, 14735, 8151, 7945, 51, 51, NA, 421869,  X*
65, 67.0, 1450302, 99771, 70447, 23825, 62250, 17816, 21078, 4601, 48, 57, NA, 1750090,  X*
66, 68.0, 42209, 43794, 6140, 1276, 2896, 3576, 3010, 776, 48, 48, NA, 103677,  X*
67, 69.0, 20206, 8834, 6769, 1226, 4735, 3768, 3021, 1270, 48, 53, NA, 49829,  X*
68, 70.0, 531009, 403648, 23560, 57548, 26950, 18818, 7859, 13472, 30, 57, NA, 1082864,  X*
69, 71.0, 1987058, 333619, 37402, 18513, 29588, 13938, 14526, 7666, 23, 44, NA, 2442310,  X*
70, 72.0, 4575, 13227, 3190, 1509, 3071, 4050, 3429, 1425, 35, 50, NA, 34476,  X*
71, 73.0, 299725, 210423, 9230, 13345, 37277, 15002, 14456, 4699, 23, 34, NA, 604157,  X*
72, 74.0, 68558, 39186, 7166, 4222, 19687, 6614, 3111, 2833, 34, 34, NA, 151377,  X*
73, 75.0, 16302, 7629, 2879, 539, 2774, 1666, 2387, 1393, 47, 40, NA, 35569,  X*
74, 76.0, 535080, 60817, 5210, 9108, 7988, 1781, 2973, 1822, 24, 38, NA, 624779,  X*
75, 77.0, 25490, 7539, 7450, 2072, 5653, 3601, 2819, 1991, 37, 56, NA, 56615,  X*
76, 78.0, 471533, 370197, 17615, 6144, 4731, 8119, 11337, 2578, 20, 47, NA, 892254,  X*
77, 79.0, 12783, 13499, 2756, 5690, 6076, 2733, 4109, 2343, 16, 50, NA, 49989,  X*
78, 80.0, 11385, 6885, 4390, 3844, 1476, 3195, 1996, 792, 38, 63, NA, 33963,  X*
79, 81.0, 7646, 11163, 11188, 3904, 2076, 4053, 4271, 770, 35, 66, NA, 45071,  X*
80, 82.0, 2339, 6798, 10330, 1910, 1117, 3603, 1311, 1465, 56, 93, NA, 28873,  X*
81, 83.0, 23588, 7508, 6169, 2646, 1215, 1291, 2211, 426, 51, 100, NA, 45054,  X*
82, 84.0, 55641, 20629, 4677, 1674, 2829, 1294, 2554, 1489, 38, 90, NA, 90787,  X*
83, 85.0, 10927, 6582, 2031, 2227, 901, 4058, 1188, 856, 47, 83, NA, 28770,  X*
84, 86.0, 698762, 105346, 20550, 40178, 5952, 23597, 12795, 11089, 43, 75, NA, 918269,  X*
85, 87.0, 889907, 44783, 27822, 18674, 20914, 13800, 7559, 12784, 50, 69, NA, 1036243,  X*
86, 88.0, 24488, 8437, 10905, 2350, 2219, 2985, 1294, 3443, 60, 83, NA, 56121,  X*
87, 89.0, 37304, 60006, 1463, 5809, 4924, 2735, 5748, 1930, 38, 69, NA, 119919,  X*
88, 90.0, 507451, 17977, 6666, 15678, 32100, 4406, 2632, 1135, 37, 69, NA, 588045,  X*
89, 91.0, 175009, 24774, 54657, 27603, 10681, 13910, 11839, 8960, 35, 80, NA, 327433,  X*
90, 92.0, 22551, 8934, 5135, 5320, 4079, 2273, 1340, 1115, 34, 77, NA, 50747,  X*
91, 93.0, 129118, 21122, 4762, 2828, 5081, 6228, 3968, 740, 48, 84, NA, 173847,  X*
92, 94.0, 526131, 48422, 8613, 14988, 12040, 12884, 16324, 8146, 53, 83, NA, 647548,  X*
93, 95.0, 750664, 345975, 8761, 13287, 25135, 16892, 18951, 9152, 43, 50, NA, 1188817,  X*
94, 96.0, 21060, 8954, 6168, 1493, 3987, 2397, 1543, 1257, 44, 47, NA, 46859,  X*
95, 97.0, 13233, 19312, 3436, 7869, 5113, 5471, 4348, 2257, 43, 51, NA, 61039,  X*
96, 98.0, 100842, 136383, 7395, 10833, 24493, 25213, 12019, 3685, 43, 40, NA, 320863,  X*
97, 99.0, 32875, 13248, 6323, 3338, 1299, 2110, 2299, 870, 50, 61, NA, 62362,  X*
98, 100.0, 123674, 62550, 9397, 9768, 3326, 6045, 10365, 1548, 43, 56, NA, 226673,  X*
99, 101.0, 950278, 67835, 9643, 4717, 14743, 5215, 1764, 823, 34, 48, NA, 1055018,  X*
100, 102.0, 12779, 7812, 7402, 1449, 2099, 4465, 3479, 1497, 38, 66, NA, 40982,  X*
101, 103.0, 6226, 5940, 8856, 1526, 3218, 2608, 2112, 2056, 43, 70, NA, 32542,  X*
102, 104.0, 6954, 4216, 938, 3015, 865, 1763, 2367, 1121, 51, 78, NA, 21239,  X*
103, 105.0, 103232, 119910, 22714, 28409, 14945, 2836, 4431, 2332, 40, 84, NA, 298809,  X*
104, 106.0, 1109494, 221531, 22250, 24309, 23350, 21372, 16143, 7698, 27, 74, NA, 1446147,  X*
105, 107.0, 11027, 8740, 2129, 1496, 1387, 5877, 3228, 1873, 38, 60, NA, 35757,  X*
106, 108.0, 2087, 3150, 902, 965, 1417, 2164, 1535, 2684, 44, 51, NA, 14904,  X*
107, 109.0, 6470, 4357, 3574, 2769, 3429, 1522, 2094, 723, 64, 57, NA, 24938,  X*
108, 110.0, 249993, 35178, 2145, 8668, 7449, 2856, 3093, 1766, 63, 61, NA, 311148,  X*
