obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 3.9, 246589, 191476, 104398, 44230, 38549, 14735, 11302, 17520, NA, NA, NA, 668799,  4*
2, 5.0, 30068, 5976, 6988, 1697, 2401, 1881, 2422, 267, NA, NA, NA, 51700,  4*
3, 5.9, 3245, 9690, 110, 2687, 1191, 3078, 725, 726, NA, NA, NA, 21452,  4*
4, 6.9, 78769, 29807, 4247, 5982, 3092, 1998, 1352, 417, 34, 37, NA, 125664,  4*
5, 7.9, 4203, 1905, 3445, 2879, 2173, 3780, 1204, 283, 53, 50, NA, 19872,  4*
6, 8.9, 13356, 4839, 9803, 3559, 2261, 1942, 938, 276, 56, 74, NA, 36974,  4*
7, 9.9, 13765, 4845, 3213, 4219, 2498, 2778, 745, 515, 67, 84, NA, 32578,  4*
8, 10.9, 2570, 8668, 809, 923, 2705, 1396, 1626, 626, 78, 75, NA, 19323,  4*
9, 12.0, 28730, 3510, 3463, 2948, 976, 2212, 703, 178, 69, 78, NA, 42720,  4*
10, 12.9, 9269, 8905, 1489, 1228, 1715, 1665, 1597, 1013, 74, 48, NA, 26881,  4*
11, 13.9, 5876, 10644, 5895, 2661, 1587, 2064, 1074, 648, 64, 47, NA, 30449,  4*
12, 14.9, 15655, 8892, 2634, 518, 1813, 2643, 685, 444, 74, 53, NA, 33284,  4*
13, 15.9, 4677, 19876, 5521, 2465, 697, 1991, 1221, 598, 60, 40, NA, 37046,  4*
14, 16.9, 15089, 10130, 4513, 1127, 2032, 2205, 1419, 565, 57, 47, NA, 37080,  4*
15, 17.9, 4019, 7676, 2917, 2034, 2225, 4382, 1389, 2054, 70, 38, NA, 26696,  4*
16, 18.9, 29250, 2326, 10528, 5137, 1370, 1319, 894, 382, 57, 66, NA, 51206,  4*
17, 19.9, 5802, 4205, 3751, 5286, 1079, 1126, 1428, 231, 60, 80, NA, 22908,  4*
18, 20.9, 8125, 5701, 1284, 3484, 1081, 2920, 939, 593, 67, 78, NA, 24127,  4*
19, 21.9, 27698, 5304, 6323, 3072, 1864, 2561, 1095, 561, 60, 87, NA, 48478,  4*
20, 22.9, 16759, 29739, 9756, 2452, 2312, 1241, 1222, 345, 48, 60, NA, 63826,  4*
21, 23.9, 14005, 8438, 8829, 1632, 2254, 2304, 1439, 585, 53, 53, NA, 39486,  4*
22, 24.9, 24428, 7637, 10298, 2363, 1939, 1112, 1097, 449, 35, 64, NA, 49323,  4*
23, 25.9, 75954, 50769, 3874, 490, 5365, 1268, 2087, 952, 10, 37, NA, 140759,  4*
24, 26.9, 17486, 6764, 8106, 7088, 3399, 2818, 5482, 780, 27, 51, NA, 51923,  4*
25, 27.9, 23223, 30473, 9450, 11008, 6163, 8792, 6805, 1892, 30, 44, NA, 97806,  4*
26, 28.9, 36698, 8336, 5143, 2425, 2614, 2410, 1409, 452, 43, 37, NA, 59487,  4*
