obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.1, 45826, 908424, 114685, 295164, 1188, 476629, 52910, 29446, 63, 66, NA, 1924272,  X*
2, 3.1, 46489, 350699, 59358, 1535950, 2343734, 281134, 44552, 290039, 77, 12, NA, 4951955,  X*
3, 4.1, 22154, 247197, 94051, 499900, 48751, 40645, 62521, 440766, 76, 19, NA, 1455985,  X*
4, 5.1, 18703, 58973, 640929, 715806, 63595, 80342, 499072, 192071, 10, 29, NA, 2269491,  X*
5, 6.1, 1535383, 149, 539233, 105883, 91665, 142472, 135754, 202349, 88, 74, NA, 2752888,  X*
6, 7.1, 54976, 3566, 305504, 75764, 685360, 127569, 52890, 124014, 61, 57, NA, 1429643,  X*
7, 8.1, 280305, 72765, 33229, 131125, 14317, 663636, 863217, 57640, 64, 69, NA, 2116234,  X*
8, 9.2, 221905, 130980, 80064, 278294, 358293, 35600, 1900309, 458716, 58, 64, NA, 3464161,  X*
9, 10.2, 1043031, 610648, 186252, 1834532, 21571, 36247, 110653, 82478, 98, 5, NA, 3925412,  X*
10, 11.2, 25552, 396144, 2572545, 85302, 115555, 129805, 154226, 260271, 57, 47, NA, 3739400,  X*
11, 12.2, 374434, 27724, 62700, 743431, 559339, 1722818, 934431, 138872, 34, 65, NA, 4563749,  X*
12, 13.2, 11654, 241486, 91780, 354071, 26119, 10983, 14214, 526317, 100, 13, NA, 1276624,  X*
13, 14.2, 903558, 469613, 67824, 601848, 196170, 146472, 68989, 1, 68, 4, NA, 2454475,  X*
14, 15.3, 690063, 1201911, 41299, 211931, 182988, 33018, 536471, 106133, 100, 15, NA, 3003814,  X*
15, 16.3, 108638, 24317, 34155, 68059, 134867, 196678, 1267324, 144839, 4, 22, NA, 1978877,  X*
16, 17.3, 1360, 1329016, 10, 108016, 1133, 70185, 1116959, 309630, 64, 25, NA, 2936309,  X*
17, 18.3, 267893, 250814, 190896, 2801969, 163, 148857, 36335, 6442, 64, 7, NA, 3703369,  X*
18, 19.3, 201000, 23794, 163906, 13067, 28628, 115118, 110017, 104241, 20, 97, NA, 759771,  X*
19, 20.4, 211129, 334316, 125104, 2311773, 663982, 94954, 1086401, 293239, 56, 8, NA, 5120898,  X*
20, 21.4, 59567, 191261, 42356, 2004, 262104, 176786, 85065, 59106, 82, 32, NA, 878249,  X*
21, 22.4, 95884, 166791, 4741, 12394, 190284, 86502, 3741, 5728, 75, 8, NA, 566065,  X*
22, 23.4, 7806, 187364, 328918, 596654, 1028195, 364, 160165, 78801, 46, 88, NA, 2388267,  X*
23, 24.4, 42171, 239404, 554518, 294891, 474965, 36463, 288365, 375835, 51, 34, NA, 2306612,  X*
24, 25.4, 75983, 262939, 136278, 37123, 1618043, 381846, 104842, 506, 64, 71, NA, 2617560,  X*
25, 26.4, 45521, 21707, 49045, 627036, 19934, 20071, 362074, 5157, 42, 25, NA, 1150545,  X*
26, 27.5, 74479, 35243, 205258, 8915, 211183, 50624, 263435, 754911, 89, 77, NA, 1604048,  X*
27, 28.5, 37144, 31616, 1660933, 642190, 7768, 45644, 498694, 1751082, 39, 73, NA, 4675071,  X*
28, 29.5, 432649, 1654388, 216873, 37346, 2695, 238695, 178163, 124103, 62, 8, NA, 2884912,  X*
29, 30.5, 211468, 86015, 467248, 510362, 72041, 63416, 499816, 14159, 57, 51, NA, 1924525,  X*
30, 31.5, 184774, 248177, 38152, 635005, 76189, 465, 556078, 157938, 3, 48, NA, 1896778,  X*
31, 32.5, 38, 5411, 46473, 21727, 1407, 310568, 1315125, 16725, 35, 93, NA, 1717474,  X*
32, 33.6, 99958, 922198, 451726, 62176, 386510, 160214, 5191, 705209, 69, 6, NA, 2793182,  X*
33, 34.6, 23957, 96268, 531900, 274440, 277765, 35182, 101658, 14139, 54, 96, NA, 1355309,  X*
34, 35.6, 163701, 1805055, 40331, 363847, 1289011, 90380, 27005, 223290, 4, 89, NA, 4002620,  X*
35, 36.6, 1009261, 90353, 174923, 264368, 108386, 56750, 336539, 28195, 5, 12, NA, 2068775,  X*
36, 37.6, 2593953, 23955, 367058, 86830, 8374, 270431, 250176, 29471, 6, 89, NA, 3630248,  X*
37, 38.6, 257990, 28703, 640846, 3163, 815450, 70769, 979142, 80787, 62, 30, NA, 2876850,  X*
38, 39.7, 408382, 417732, 254580, 77396, 249, 126582, 1012168, 124540, 12, 13, NA, 2421629,  X*
39, 40.7, 506488, 2426, 60323, 50075, 492301, 153050, 545342, 131, 83, 43, NA, 1810136,  X*
40, 41.7, 23998, 304379, 156661, 163628, 490279, 2453473, 16709, 99185, 18, 49, NA, 3708312,  X*
41, 42.7, 192752, 8507, 60107, 42543, 205425, 347927, 131887, 176195, 45, 7, NA, 1165343,  X*
42, 43.7, 36270, 30040, 635389, 294104, 288152, 852555, 1877887, 433447, 78, 56, NA, 4447844,  X*
43, 44.7, 451721, 503703, 1859, 205789, 276079, 675303, 62114, 599, 75, 8, NA, 2177167,  X*
44, 45.7, 52901, 3111, 26096, 322893, 425981, 616141, 239115, 62048, 47, 66, NA, 1748286,  X*
45, 46.8, 144870, 74329, 8633, 898604, 388591, 730072, 9957, 144086, 17, 51, NA, 2399142,  X*
46, 47.8, 325430, 603170, 25401, 385058, 489429, 271, 66763, 63749, 83, 11, NA, 1959271,  X*
47, 48.8, 118788, 238473, 50273, 177681, 61292, 447323, 261078, 198092, 26, 68, NA, 1553000,  X*
48, 49.8, 411729, 12188, 2018040, 109432, 26664, 208454, 63839, 26943, 24, 81, NA, 2877289,  X*
49, 50.8, 42426, 876386, 151412, 257130, 133719, 31989, 943612, 103857, 50, 52, NA, 2540531,  X*
50, 51.9, 303153, 171975, 469473, 419063, 196809, 349676, 1462188, 514382, 19, 79, NA, 3886719,  X*
51, 52.9, 412518, 288482, 1103418, 1, 261678, 13101, 453937, 583345, 82, 32, NA, 3116480,  X*
52, 53.9, 177905, 516597, 16577, 6958, 38958, 658522, 1232896, 1553, 24, 31, NA, 2649966,  X*
53, 54.9, 1950, 20572, 270580, 97872, 25574, 733768, 445759, 35826, 21, 58, NA, 1631901,  X*
54, 55.9, 61456, 110178, 1572047, 48755, 875567, 711420, 88815, 642, 23, 37, NA, 3468880,  X*
55, 56.9, 81801, 3249, 1501303, 126099, 157659, 31995, 5066, 997727, 43, 67, NA, 2904899,  X*
56, 57.9, 41444, 128263, 231831, 39098, 351560, 326612, 796943, 188546, 50, 29, NA, 2104297,  X*
57, 59.0, 276743, 9607, 127093, 444485, 1833539, 57739, 225980, 20884, 97, 71, NA, 2996070,  X*
58, 60.0, 911, 716400, 1985, 160563, 618447, 10871, 93207, 296275, 74, 24, NA, 1898659,  X*
59, 61.0, 259572, 41835, 170752, 160228, 16899, 459, 5145, 160571, 21, 53, NA, 815461,  X*
60, 62.0, 711110, 17200, 137554, 404582, 44, 2128165, 331152, 274499, 13, 39, NA, 4004306,  X*
61, 63.1, 143, 77581, 243899, 448530, 158589, 937, 491656, 3825, 80, 34, NA, 1425160,  X*
62, 64.1, 60018, 117248, 189, 261082, 161027, 184395, 478338, 18944, 72, 20, NA, 1281241,  X*
63, 65.1, 231525, 17150, 99052, 255, 188042, 477259, 522, 64624, 85, 94, NA, 1078429,  X*
64, 66.1, 91369, 431842, 813573, 128152, 480318, 88370, 252405, 1090210, 35, 59, NA, 3376239,  X*
65, 67.1, 473199, 270159, 78562, 97893, 3109, 5, 672, 299729, 36, 30, NA, 1223328,  X*
66, 68.1, 52190, 1698847, 1424, 6733, 276546, 8747, 1764, 965224, 93, 17, NA, 3011475,  X*
67, 69.2, 404862, 115037, 247407, 593887, 1242053, 68342, 496306, 30995, 35, 5, NA, 3198889,  X*
68, 70.2, 56746, 51601, 109397, 135595, 44720, 101639, 88655, 860349, 57, 50, NA, 1448702,  X*
69, 71.2, 147922, 150536, 28018, 536612, 636121, 156841, 640854, 77002, 78, 37, NA, 2373906,  X*
70, 72.2, 565334, 1780884, 1215159, 977533, 630089, 570625, 255782, 226188, 12, 4, NA, 6221594,  X*
71, 73.2, 538488, 4415, 53823, 228519, 533929, 13872, 1041812, 53520, 87, 40, NA, 2468378,  X*
72, 74.2, 2586, 295010, 2230285, 226732, 22998, 197728, 196396, 2454244, 83, 44, NA, 5625979,  X*
73, 75.2, 239392, 37057, 803715, 176173, 333680, 1279896, 381199, 468995, 98, 11, NA, 3720107,  X*
74, 76.2, 129370, 471154, 48933, 147069, 383907, 715239, 23081, 1065, 39, 48, NA, 1919818,  X*
75, 77.3, 131, 19134, 24996, 75045, 974641, 169055, 54645, 55925, 94, 65, NA, 1373572,  X*
76, 78.3, 1331552, 509066, 163978, 63634, 408316, 48357, 168115, 76313, 85, 49, NA, 2769331,  X*
77, 79.3, 514529, 672716, 31975, 4893, 3486, 486870, 12572, 374964, 38, 65, NA, 2102005,  X*
78, 80.3, 161243, 9617, 2224300, 2, 328050, 1272124, 288981, 1855119, 73, 56, NA, 6139436,  X*
79, 81.3, 372935, 44297, 365224, 493575, 185075, 12895, 116736, 343217, 60, 76, NA, 1933954,  X*
80, 82.3, 816528, 8378, 353802, 5590, 8858, 804, 845921, 3044, 95, 1, NA, 2042925,  X*
81, 83.3, 83552, 3258, 1845897, 147984, 31118, 27792, 81, 710281, 1, 2, NA, 2849963,  X*
82, 84.3, 871732, 41249, 123153, 636411, 397257, 1846845, 86941, 65623, 13, 99, NA, 4069211,  X*
83, 85.3, 870890, 66490, 50866, 20328, 418051, 211620, 600943, 1039064, 78, 15, NA, 3278252,  X*
84, 86.3, 414590, 66887, 175368, 13076, 2321538, 145523, 415, 514580, 7, 79, NA, 3651977,  X*
85, 87.4, 272689, 157263, 88233, 87155, 190573, 12498, 256593, 350648, 29, 3, NA, 1415652,  X*
86, 88.4, 42590, 62132, 94318, 3904, 855, 467838, 178964, 75268, 44, 67, NA, 925869,  X*
87, 89.4, 186028, 231762, 27577, 1056954, 12756, 1101776, 397653, 125104, 21, 54, NA, 3139610,  X*
88, 90.4, 196618, 4613, 9366, 547475, 39036, 170659, 550041, 36738, 66, 56, NA, 1554546,  X*
89, 91.4, 1245, 83971, 35935, 134419, 59012, 1214260, 2456, 215823, 7, 3, NA, 1747121,  X*
90, 92.4, 123496, 50846, 177736, 298729, 18398, 329168, 639060, 5240, 59, 69, NA, 1642673,  X*
91, 93.4, 52604, 346414, 182862, 1614, 949206, 8048, 380354, 787471, 80, 89, NA, 2708573,  X*
92, 94.4, 74511, 71740, 993574, 214527, 128026, 156068, 142363, 1361, 34, 35, NA, 1782170,  X*
93, 95.4, 79277, 410290, 451517, 515124, 1119826, 363446, 4149, 13547, 37, 22, NA, 2957176,  X*
94, 96.4, 272628, 246510, 87945, 381169, 1399694, 21988, 113408, 70783, 36, 73, NA, 2594125,  X*
95, 97.4, 58781, 297, 6080, 32233, 1065100, 99733, 329628, 482935, 57, 47, NA, 2074787,  X*
96, 98.5, 64231, 246925, 302509, 87727, 4020, 1474487, 427427, 1012245, 49, 94, NA, 3619571,  X*
97, 99.5, 119134, 166239, 299777, 42429, 309947, 630142, 21712, 90057, 7, 73, NA, 1679437,  X*
98, 100.5, 924580, 619328, 12599, 50485, 170978, 321186, 165204, 2034, 95, 64, NA, 2266394,  X*
99, 101.5, 788112, 222399, 419722, 1349, 70511, 201892, 343522, 27456, 1, 24, NA, 2074963,  X*
100, 102.5, 34, 984695, 582108, 15009, 2860599, 99427, 1243080, 318216, 9, 34, NA, 6103168,  X*
