obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 3.9, 574519, 72927, 32212, 8700, 8673, 8503, 2870, 4112, NA, NA, NA, 712516,  0*
2, 5.0, 94005, 149978, 38322, 12562, 9987, 7548, 1547, 1447, NA, NA, NA, 315396,  0*
3, 5.9, 56163, 28811, 9083, 5043, 10756, 7226, 2950, 1035, NA, NA, NA, 121067,  0*
4, 6.9, 41390, 9320, 3514, 7929, 4305, 780, 275, 207, 30, 54, NA, 67720,  0*
5, 7.9, 308088, 57023, 21271, 6704, 12739, 2781, 2911, 1869, 21, 53, NA, 413386,  0*
6, 9.0, 25017, 24058, 1519, 6079, 1459, 1108, 415, 448, 11, 43, NA, 60103,  0*
7, 9.9, 120640, 48719, 4044, 1758, 9609, 5968, 785, 1212, 17, 24, NA, 192735,  0*
8, 10.9, 66369, 7354, 16178, 423, 2590, 2710, 1491, 1311, 34, 34, NA, 98426,  0*
9, 11.9, 211159, 55341, 10040, 16506, 24332, 14070, 9484, 2868, 56, 34, NA, 343800,  0*
10, 12.9, 11602, 13948, 8789, 1152, 2251, 4682, 1540, 627, 80, 48, NA, 44591,  0*
11, 13.9, 9001, 13165, 5421, 1273, 2547, 2210, 916, 1541, 81, 70, NA, 36074,  0*
12, 14.9, 13437, 7480, 6112, 2026, 3063, 1453, 1168, 639, 78, 60, NA, 35378,  0*
13, 16.0, 717208, 52619, 34594, 27685, 10617, 8531, 5062, 3617, 66, 78, NA, 859933,  0*
14, 16.9, 368590, 45338, 31602, 13209, 21135, 9231, 4049, 5216, 56, 81, NA, 498370,  0*
15, 17.9, 45681, 17909, 38431, 14435, 9688, 1887, 1724, 1140, 37, 100, NA, 130895,  0*
16, 18.9, 20450, 8468, 2322, 2241, 4781, 4217, 1552, 630, 54, 84, NA, 44661,  0*
17, 19.9, 543873, 73905, 7646, 4234, 13386, 7437, 5391, 3118, 57, 53, NA, 658990,  0*
18, 20.9, 13903, 4457, 2603, 1753, 1706, 2105, 2198, 555, 69, 51, NA, 29280,  0*
19, 21.9, 116176, 30380, 9029, 5260, 3824, 2695, 1861, 674, 81, 27, NA, 169899,  0*
20, 23.0, 7420, 5722, 3278, 2422, 1187, 1173, 2119, 1473, 64, 43, NA, 24794,  0*
21, 23.9, 20635, 19763, 5608, 6448, 3243, 4091, 498, 805, 69, 60, NA, 61091,  0*
22, 25.0, 13066, 7519, 2493, 8040, 8479, 1942, 1355, 490, 57, 63, NA, 43384,  0*
23, 25.9, 509745, 122001, 37422, 20221, 9921, 9476, 2920, 768, 57, 64, NA, 712474,  0*
24, 27.0, 149429, 7769, 2100, 4151, 2985, 1642, 1352, 349, 57, 60, NA, 169777,  0*
25, 27.9, 9466, 7778, 942, 5514, 7472, 3922, 1385, 609, 69, 56, NA, 37088,  0*
26, 29.0, 35926, 15347, 3244, 6206, 550, 678, 454, 225, 50, 54, NA, 62630,  0*
27, 30.0, 465857, 44065, 13247, 20970, 10372, 4123, 1650, 1130, 50, 60, NA, 561414,  0*
28, 30.9, 9155, 17509, 1973, 5550, 1942, 991, 1321, 361, 37, 56, NA, 38802,  0*
29, 31.9, 11451, 7189, 16623, 2457, 3387, 2846, 1839, 541, 23, 78, NA, 46333,  0*
