obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 118019, 24810, 12133, 6990, 2797, 4350, 1602, 378, NA, NA, NA, 171079,  X*
2, 6.0, 1460550, 188175, 9991, 14855, 22276, 7927, 9416, 4023, NA, NA, NA, 1717213,  X*
3, 7.0, 15455, 3925, 3753, 3598, 1729, 1373, 1070, 826, NA, NA, NA, 31729,  X*
4, 8.0, 247753, 45469, 15931, 4044, 5002, 8196, 2233, 1634, 53, 41, NA, 330262,  X*
5, 9.0, 513321, 150037, 19989, 9295, 14067, 7102, 9431, 4951, 47, 37, NA, 728193,  X*
6, 10.0, 14022, 11606, 3249, 2412, 3073, 2825, 2018, 373, 63, 38, NA, 39578,  X*
7, 11.0, 21661, 11523, 2036, 3470, 1575, 2728, 2301, 2735, 80, 40, NA, 48029,  X*
8, 12.0, 22843, 5979, 3283, 1476, 4474, 3342, 1092, 2241, 88, 41, NA, 44730,  X*
9, 13.0, 10249, 2421, 487, 1571, 3197, 1797, 683, 236, 100, 47, NA, 20641,  X*
10, 14.0, 13322, 6652, 5035, 1022, 6574, 2678, 2004, 761, 100, 47, NA, 38048,  X*
11, 15.0, 61996, 7581, 6981, 2457, 3519, 3078, 1059, 663, 100, 53, NA, 87334,  X*
12, 16.0, 25406, 5472, 6064, 661, 2575, 2024, 1760, 464, 100, 60, NA, 44426,  X*
13, 17.0, 439409, 66277, 12547, 21825, 7421, 19075, 11447, 6967, 91, 61, NA, 584968,  X*
14, 18.0, 686896, 25161, 5703, 2671, 6520, 3097, 1359, 403, 80, 57, NA, 731810,  X*
15, 19.0, 773400, 10421, 10789, 4579, 3176, 3044, 1993, 3148, 74, 61, NA, 810550,  X*
16, 20.0, 258560, 159063, 3274, 5590, 13209, 20973, 8053, 7204, 67, 37, NA, 475926,  X*
17, 21.0, 81139, 53742, 22808, 9524, 20081, 8428, 5046, 3776, 60, 37, NA, 204544,  X*
18, 22.0, 1355310, 122053, 14603, 13522, 17540, 10510, 10370, 5980, 54, 34, NA, 1549888,  X*
19, 23.0, 828486, 178928, 9529, 8283, 8773, 13919, 4907, 2801, 48, 11, NA, 1055626,  X*
20, 24.0, 253088, 27173, 22969, 15795, 8298, 29163, 12510, 10666, 64, 35, NA, 379662,  X*
21, 25.0, 17040, 13170, 776, 3271, 5876, 5070, 2080, 524, 78, 27, NA, 47807,  X*
22, 26.0, 584925, 136816, 2809, 8595, 1649, 4109, 1963, 1378, 66, 20, NA, 742244,  X*
23, 27.0, 66624, 18970, 1966, 3540, 4149, 5606, 2040, 564, 83, 26, NA, 103459,  X*
