obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.9, 73697, 10897, 868, 2747, 4332, 1317, 688, 236, NA, NA, NA, 94782,  X*
2, 3.9, 287348, 26344, 23015, 12165, 30462, 9718, 7951, 1636, NA, NA, NA, 398639,  X*
3, 4.9, 416200, 13207, 8227, 11000, 5784, 3494, 3766, 1086, NA, NA, NA, 462764,  X*
4, 5.9, 488490, 75566, 7916, 67382, 25051, 18923, 18292, 3364, 44, 48, NA, 704984,  X*
5, 6.9, 1612514, 383059, 46691, 64389, 41346, 28937, 33758, 13726, 26, 43, NA, 2224420,  X*
6, 7.9, 423145, 105289, 49084, 12896, 14301, 23633, 10911, 6645, 38, 47, NA, 645904,  X*
7, 8.9, 2010106, 544483, 144513, 238799, 43870, 51843, 78330, 10526, 20, 53, NA, 3122470,  X*
8, 9.9, 665364, 835303, 77702, 156621, 41903, 138261, 61503, 11150, 24, 38, NA, 1987807,  X*
9, 10.9, 1133949, 348727, 55105, 69295, 17813, 68283, 9857, 4411, 60, 41, NA, 1707440,  X*
10, 11.9, 2054984, 573836, 198670, 302610, 139535, 184617, 35352, 14722, 69, 44, NA, 3504326,  X*
11, 17.9, 1217865, 222821, 134212, 95650, 107816, 126945, 34943, 10461, 100, 43, NA, 1950713,  X*
12, 18.9, 22162, 5532, 8514, 5951, 1566, 3546, 433, 239, 100, 69, NA, 47943,  X*
13, 19.9, 2475195, 528022, 283972, 318721, 245629, 177258, 46928, 21444, 100, 81, NA, 4097169,  X*
14, 20.9, 825952, 155580, 45943, 17572, 27434, 23498, 30443, 3380, 78, 74, NA, 1129802,  X*
15, 21.9, 53843, 28532, 6855, 3184, 3883, 7105, 1055, 378, 66, 61, NA, 104835,  X*
16, 22.9, 1209693, 156092, 26500, 52164, 47178, 26716, 7257, 8601, 54, 40, NA, 1534201,  X*
17, 24.9, 538751, 30029, 31128, 23338, 4940, 15697, 9109, 632, 61, 47, NA, 653624,  X*
18, 25.9, 1365201, 98842, 29579, 51758, 84441, 42559, 14376, 5555, 83, 48, NA, 1692311,  X*
19, 26.9, 229678, 148925, 8507, 30197, 16589, 22194, 8419, 2084, 70, 47, NA, 466593,  X*
20, 28.9, 96186, 65228, 7148, 2846, 11966, 8563, 5487, 751, 70, 29, NA, 198175,  X*
21, 33.9, 793540, 548832, 104686, 60099, 99913, 71008, 47972, 10976, 57, 8, NA, 1737026,  X*
22, 34.9, 2581862, 711561, 18204, 18229, 70079, 42671, 17403, 11625, 21, 1, NA, 3471634,  X*
23, 35.9, 82926, 14236, 2703, 6220, 8471, 4743, 2339, 1276, 37, 3, NA, 122914,  X*
24, 37.9, 1101789, 1203749, 517906, 132300, 119495, 84714, 50988, 27608, 17, 27, NA, 3238549,  X*
25, 39.9, 794709, 50584, 25199, 44620, 12723, 15220, 6567, 5983, 23, 50, NA, 955605,  X*
26, 40.9, 750495, 111164, 67145, 17679, 30334, 20354, 5554, 2340, 40, 78, NA, 1005065,  X*
27, 41.9, 1614050, 1012732, 337720, 148499, 222432, 137678, 64494, 11609, 23, 80, NA, 3549214,  X*
28, 42.9, 1552534, 259852, 94091, 24148, 84140, 39740, 21531, 7548, 43, 75, NA, 2083584,  X*
29, 43.9, 48684, 11261, 1539, 1005, 8055, 1908, 3089, 902, 44, 51, NA, 76443,  X*
30, 44.9, 54315, 19608, 12376, 3995, 7602, 3862, 4314, 2871, 47, 50, NA, 108943,  X*
31, 45.9, 13703, 15041, 4163, 6537, 7476, 3744, 1903, 1247, 56, 51, NA, 53814,  X*
32, 46.9, 4722, 2828, 1171, 1601, 2010, 2981, 2219, 2118, 80, 51, NA, 19650,  X*
33, 47.9, 157291, 17284, 5075, 5232, 2974, 7184, 1731, 641, 87, 66, NA, 197412,  X*
34, 48.9, 21845, 17089, 16102, 4712, 2961, 3506, 3509, 1598, 77, 74, NA, 71322,  X*
35, 49.9, 2053, 11572, 2109, 3515, 1089, 2581, 5711, 987, 70, 70, NA, 29617,  X*
36, 50.9, 559077, 27864, 44700, 21945, 7113, 12593, 2993, 1182, 48, 90, NA, 677467,  X*
37, 51.9, 107272, 4444, 6700, 5608, 6172, 3707, 6535, 2038, 44, 100, NA, 142476,  X*
38, 52.9, 565838, 1733540, 142105, 308245, 198988, 72801, 62500, 8887, 34, 81, NA, 3092904,  X*
39, 53.9, 443605, 212560, 17310, 27301, 30106, 24154, 21804, 6114, 26, 70, NA, 782954,  X*
40, 55.9, 1289336, 365280, 266312, 59461, 91011, 40092, 32511, 11470, 16, 61, NA, 2155473,  X*
41, 56.9, 221543, 121162, 30114, 9361, 19854, 31443, 8586, 3181, 17, 44, NA, 445244,  X*
42, 59.9, 614038, 71333, 27978, 10572, 15756, 16437, 16186, 2417, 43, 53, NA, 774717,  X*
43, 60.9, 1521854, 193006, 61623, 113149, 90903, 115663, 55344, 18455, 63, 64, NA, 2169997,  X*
44, 62.0, 1336308, 252517, 222937, 59408, 34531, 52855, 25532, 8129, 69, 67, NA, 1992217,  X*
45, 62.9, 1205488, 512513, 237764, 39436, 78394, 49187, 23558, 6084, 51, 77, NA, 2152424,  X*
46, 63.9, 1862530, 1288389, 468988, 97846, 208075, 186427, 88399, 97033, 43, 75, NA, 4297687,  X*
47, 64.9, 193733, 132265, 18110, 4164, 21523, 20591, 6876, 3396, 29, 61, NA, 400658,  X*
48, 65.9, 3085150, 207096, 14515, 47136, 56993, 62694, 37353, 10142, 44, 44, NA, 3521079,  X*
49, 66.9, 844747, 379993, 33761, 86280, 49809, 29266, 28605, 2521, 43, 38, NA, 1454982,  X*
50, 67.9, 213971, 15555, 5731, 15290, 11956, 9248, 8108, 1776, 57, 44, NA, 281635,  X*
51, 68.9, 2548609, 247786, 165120, 22834, 82743, 69573, 20763, 8450, 61, 60, NA, 3165878,  X*
52, 69.9, 217839, 9832, 11317, 7629, 2936, 5774, 2494, 417, 57, 77, NA, 258238,  X*
53, 70.9, 768570, 92846, 42606, 93330, 58788, 40831, 52350, 4730, 77, 90, NA, 1154051,  X*
54, 71.9, 1200312, 85988, 54562, 24614, 28758, 12679, 8685, 3679, 56, 90, NA, 1419277,  X*
55, 72.9, 1101419, 157185, 70720, 19403, 41430, 21412, 14807, 5279, 47, 88, NA, 1431655,  X*
56, 73.9, 369379, 386714, 31936, 95883, 61303, 22969, 55798, 8984, 23, 75, NA, 1032966,  X*
57, 74.9, 51587, 46034, 2159, 6055, 4632, 6700, 3707, 279, 17, 54, NA, 121153,  X*
58, 76.9, 820122, 281113, 148017, 90819, 85991, 86243, 38826, 7809, 29, 54, NA, 1558940,  X*
59, 77.9, 869134, 157611, 66696, 10803, 33980, 24839, 7014, 6729, 35, 53, NA, 1176806,  X*
60, 78.9, 1167638, 182477, 119737, 47938, 77348, 67579, 17123, 13795, 57, 61, NA, 1693635,  X*
61, 82.9, 2369686, 312820, 281548, 74450, 85802, 214721, 64492, 34884, 70, 77, NA, 3438403,  X*
62, 83.9, 730684, 297758, 59246, 25589, 79345, 43311, 36984, 2478, 66, 64, NA, 1275395,  X*
63, 85.9, 628539, 140679, 34176, 12306, 22147, 14794, 12720, 5737, 63, 61, NA, 871098,  X*
64, 86.9, 1149081, 160209, 8413, 9224, 30228, 20329, 20121, 2219, 53, 41, NA, 1399824,  X*
65, 87.9, 1519501, 281224, 20153, 22481, 20526, 16329, 20177, 3121, 26, 24, NA, 1903512,  X*
66, 88.9, 270680, 41438, 6728, 10826, 10299, 22633, 3957, 2397, 44, 26, NA, 368958,  X*
67, 95.9, 15702, 26775, 9547, 1133, 4662, 8107, 3226, 711, 57, 26, NA, 69863,  X*
68, 98.9, 56106, 4100, 5383, 8888, 7348, 4247, 4440, 833, 69, 51, NA, 91345,  X*
69, 100.9, 751520, 1898201, 18442, 47623, 83621, 114892, 27444, 15408, 74, 38, NA, 2957151,  X*
70, 101.9, 1041780, 126035, 105327, 44277, 58199, 83027, 49946, 2704, 69, 48, NA, 1511295,  X*
71, 102.9, 857624, 110137, 44974, 77322, 46646, 16242, 19378, 11144, 53, 60, NA, 1183467,  X*
72, 103.9, 1615662, 74693, 50940, 20943, 79863, 28946, 46613, 4281, 50, 51, NA, 1921941,  X*
73, 104.9, 1827497, 183691, 52114, 17496, 33281, 26206, 14575, 7265, 56, 74, NA, 2162125,  X*
74, 105.9, 558876, 282461, 159611, 78261, 78755, 90860, 20616, 9392, 48, 74, NA, 1278832,  X*
75, 106.9, 1161559, 234515, 53247, 62721, 33658, 16984, 5924, 6417, 44, 67, NA, 1575025,  X*
76, 107.9, 259620, 159231, 2645, 8643, 9679, 8457, 3788, 533, 23, 50, NA, 452596,  X*
77, 108.9, 501443, 469560, 31627, 20311, 31606, 26905, 16869, 5066, 14, 38, NA, 1103387,  X*
78, 109.9, 801304, 102560, 9886, 25960, 27256, 22502, 11132, 3007, 11, 27, NA, 1003607,  X*
79, 110.9, 2394579, 299661, 27430, 77253, 146717, 95188, 59661, 8331, 34, 20, NA, 3108820,  X*
80, 118.9, 837893, 138977, 265447, 56296, 144154, 111318, 115466, 22515, 56, 44, NA, 1692066,  X*
81, 119.9, 1076699, 67060, 11394, 4582, 18405, 15150, 5947, 4869, 75, 51, NA, 1204106,  X*
82, 121.9, 337998, 68833, 8876, 62641, 33492, 29632, 27980, 6183, 80, 60, NA, 575635,  X*
83, 122.9, 110363, 61982, 8217, 8965, 7471, 3828, 1589, 876, 56, 63, NA, 203291,  X*
84, 123.9, 1947016, 261566, 18073, 33807, 13830, 9730, 11095, 1892, 26, 48, NA, 2297009,  X*
85, 124.9, 399965, 71835, 16976, 19815, 18429, 12296, 12674, 3398, 20, 56, NA, 555388,  X*
86, 126.9, 2098748, 39695, 17583, 4040, 7208, 17016, 7004, 1542, 24, 51, NA, 2192836,  X*
87, 127.9, 2123297, 607226, 96425, 101149, 33690, 138552, 74858, 6719, 44, 51, NA, 3181916,  X*
88, 128.9, 432062, 1364747, 243252, 448489, 217225, 181770, 218653, 60295, 60, 60, NA, 3166493,  X*
